Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1682840880000,29281.81000000,29281.81000000,29277.36000000,29277.36000000,18.53202000,1682841059999,542590.02794090,821,7.42854000,217494.88425940,0
1682841060000,29277.36000000,29277.37000000,29268.58000000,29268.59000000,13.37175000,1682841239999,391458.23094430,779,3.50554000,102620.23372040,0
1682841240000,29268.58000000,29268.59000000,29266.25000000,29266.25000000,25.97383000,1682841419999,760189.07214590,722,16.54191000,484136.89356850,0
1682841420000,29266.26000000,29266.43000000,29266.25000000,29266.43000000,12.63303000,1682841599999,369721.79696950,446,7.02490000,205592.79425840,0
1682841600000,29266.43000000,29273.96000000,29266.42000000,29273.95000000,25.58299000,1682841779999,748857.20646180,732,18.81914000,550861.34707970,0
1682841780000,29273.96000000,29273.96000000,29263.21000000,29267.72000000,31.03631000,1682841959999,908373.37396880,1122,6.96035000,203695.50820560,0
1682841960000,29267.73000000,29267.73000000,29243.29000000,29243.29000000,40.52723000,1682842139999,1185574.54778410,1658,5.05043000,147723.96561220,0
1682842140000,29243.30000000,29263.00000000,29242.09000000,29258.59000000,47.25068000,1682842319999,1382007.39307340,1598,17.62387000,515465.89487490,0
1682842320000,29258.59000000,29266.62000000,29258.58000000,29266.61000000,17.58102000,1682842499999,514468.98137570,669,12.76183000,373440.50489400,0
1682842500000,29266.61000000,29266.62000000,29253.96000000,29253.97000000,23.36892000,1682842679999,683807.19817200,960,4.67378000,136763.94510670,0
1682842680000,29253.97000000,29261.68000000,29246.98000000,29261.68000000,23.73486000,1682842859999,694314.84179500,1026,15.33832000,448692.16813430,0
1682842860000,29261.67000000,29261.68000000,29252.59000000,29252.59000000,24.45208000,1682843039999,715413.22343410,975,3.66964000,107374.51476460,0
1682843040000,29252.59000000,29264.85000000,29252.59000000,29264.85000000,19.99438000,1682843219999,585017.99757970,849,13.27135000,388294.07387200,0
1682843220000,29264.84000000,29300.00000000,29264.84000000,29290.55000000,81.05968000,1682843399999,2373988.94126310,2018,59.46177000,1741453.69903030,0
1682843400000,29290.54000000,29348.31000000,29287.06000000,29327.20000000,172.09731000,1682843579999,5046279.94232330,4082,94.70440000,2776663.24264520,0
1682843580000,29327.20000000,29328.59000000,29306.00000000,29320.57000000,51.26020000,1682843759999,1502638.85670660,1344,31.90751000,935293.28893080,0
1682843760000,29320.56000000,29323.53000000,29308.72000000,29308.72000000,56.08519000,1682843939999,1644319.81612540,1125,26.48885000,776598.44341780,0
1682843940000,29308.73000000,29313.04000000,29300.00000000,29306.24000000,64.03605000,1682844119999,1876713.55869490,1231,28.40308000,832354.40865130,0
1682844120000,29306.23000000,29306.24000000,29295.06000000,29295.07000000,33.81292000,1682844299999,990751.91933810,916,8.02891000,235242.87570130,0
1682844300000,29295.06000000,29295.07000000,29277.09000000,29277.09000000,24.74960000,1682844479999,724686.15567270,977,9.34827000,273725.89480820,0
1682844480000,29277.10000000,29277.10000000,29245.88000000,29259.01000000,48.22046000,1682844659999,1410861.43680810,1610,19.52548000,571232.66884400,0
1682844660000,29259.02000000,29268.47000000,29259.01000000,29263.22000000,23.40539000,1682844839999,684964.58936780,939,9.04818000,264785.07008230,0
1682844840000,29263.23000000,29266.23000000,29261.83000000,29261.83000000,16.07411000,1682845019999,470393.65182180,912,5.98739000,175215.06300610,0
1682845020000,29261.83000000,29270.00000000,29261.83000000,29269.99000000,19.52815000,1682845199999,571510.85922450,841,14.58477000,426826.52374720,0
1682845200000,29270.00000000,29270.00000000,29255.62000000,29255.66000000,36.99141000,1682845379999,1082541.02120740,1159,8.14056000,238238.67811260,0
1682845380000,29255.67000000,29255.72000000,29255.66000000,29255.71000000,21.89893000,1682845559999,640667.95542890,952,12.07108000,353147.66213490,0
1682845560000,29255.72000000,29259.49000000,29251.34000000,29255.04000000,20.48385000,1682845739999,599246.51504080,850,8.11053000,237258.36041590,0
1682845740000,29255.04000000,29283.19000000,29253.48000000,29271.04000000,35.40774000,1682845919999,1036201.89067880,1122,29.05709000,850358.53179030,0
1682845920000,29271.04000000,29271.05000000,29260.00000000,29260.00000000,16.59172000,1682846099999,485545.21797180,1173,6.53537000,191240.04255240,0
1682846100000,29260.00000000,29260.01000000,29249.99000000,29249.99000000,35.13001000,1682846279999,1027779.04320080,1180,9.91370000,290051.63991250,0
1682846280000,29249.99000000,29250.00000000,29223.73000000,29240.29000000,63.91105000,1682846459999,1868372.90989020,1843,22.98339000,671858.16900880,0
1682846460000,29240.29000000,29251.81000000,29236.15000000,29251.77000000,43.14393000,1682846639999,1261645.77526270,1396,30.90253000,903682.01496100,0
1682846640000,29251.77000000,29252.93000000,29241.33000000,29248.76000000,30.24409000,1682846819999,884575.23901070,1345,14.24435000,416599.10954120,0
1682846820000,29248.76000000,29256.86000000,29248.75000000,29254.00000000,21.82414000,1682846999999,638420.72545030,773,13.63714000,398924.78036590,0
1682847000000,29254.00000000,29254.00000000,29249.86000000,29249.87000000,20.11176000,1682847179999,588290.29723130,801,7.53966000,220543.71245090,0
1682847180000,29249.87000000,29255.00000000,29247.79000000,29254.99000000,32.20324000,1682847359999,941988.28990520,1166,21.56007000,630644.08994100,0
1682847360000,29254.99000000,29255.00000000,29254.99000000,29254.99000000,9.13141000,1682847539999,267139.35948720,544,5.12513000,149935.67815000,0
1682847540000,29255.00000000,29255.00000000,29232.24000000,29232.25000000,26.41378000,1682847719999,772507.03547230,928,4.92866000,144142.66916160,0
