Time,Index,Equity,Shares,Entry,Stoploss,Short or Long,Profit
2023-03-02 15:06:00,221,38432904.4802,-60,1836.71000,0.00000,Short,110195.9878
2023-03-09 09:45:00,222,38605554.7206,-95,1817.48000,0.00000,Short,172650.2404
2023-03-16 11:30:00,223,38997941.4960,-204,1923.58000,0.00000,Short,392386.7754
2023-03-17 16:33:00,224,39127066.7080,-66,1956.56000,0.00000,Short,129125.2120
2023-04-03 10:06:00,225,39345314.0224,-111,1966.31000,0.00000,Short,218247.3144
2023-04-03 13:06:00,226,39564836.6502,-111,1977.80000,0.00000,Short,219522.6279
2023-04-03 13:57:00,227,39614235.9361,-25,1976.09000,0.00000,Short,49399.2859
2023-04-04 08:21:00,228,39897837.9689,-143,1983.35000,0.00000,Short,283602.0329
2023-04-04 17:39:00,229,40077520.8573,-89,2019.03000,0.00000,Short,179682.8884
2023-04-06 09:03:00,230,40402352.6762,-161,2017.71000,0.00000,Short,324831.8189
2023-04-06 09:57:00,231,40713358.5748,-154,2019.64000,0.00000,Short,311005.8985
2023-04-06 10:45:00,232,40909237.3513,-97,2019.49000,0.00000,Short,195878.7766
2023-04-18 11:00:00,233,41103566.1609,-97,2003.51000,0.00000,Short,194328.8096
2023-04-18 14:21:00,234,41250051.5813,-73,2006.77000,0.00000,Short,146485.4203
2023-04-20 08:21:00,235,41531785.1062,-141,1998.23000,0.00000,Short,281733.5250
2023-04-20 10:42:00,236,41814123.4849,-141,2002.52000,0.00000,Short,282338.3787
2023-04-20 11:21:00,237,42164413.9662,-175,2001.78000,0.00000,Short,350290.4813
2023-04-20 13:21:00,238,42364814.9414,-100,2004.13000,0.00000,Short,200400.9752
2023-04-24 16:42:00,239,42754149.5000,-196,1986.52000,0.00000,Short,389334.5585
2023-04-26 14:39:00,240,42814134.5006,-30,1999.62000,0.00000,Short,59985.0007
2023-05-02 11:39:00,241,42935346.4275,-61,1987.20000,0.00000,Short,121211.9268
2023-05-02 12:00:00,242,43038615.3510,-52,1986.06000,0.00000,Short,103268.9235
2023-05-03 18:30:00,243,43263059.4235,-111,2022.14000,0.00000,Short,224444.0725
2023-05-12 13:24:00,244,43369925.3912,-53,2016.46000,0.00000,Short,106865.9677
2023-05-19 16:00:00,245,43458740.1620,-45,1973.78000,0.00000,Short,88814.7708
2023-05-19 18:09:00,246,43601393.1223,-72,1981.41000,0.00000,Short,142652.9603
